CMDLINE C:\Users\Firefly\GPU_Project\Anaconda\envs\rltest\python.exe gpu_RL.py
MEM 1159.109375 1623599089.2980
MEM 1159.109375 1623599089.4100
MEM 1159.109375 1623599089.5220
MEM 1159.109375 1623599089.6340
MEM 1159.109375 1623599089.7460
MEM 1159.109375 1623599089.8580
MEM 1159.113281 1623599089.9700
MEM 1159.113281 1623599090.0820
MEM 1159.113281 1623599090.1940
MEM 1159.113281 1623599090.3060
MEM 1159.113281 1623599090.4180
MEM 1159.113281 1623599090.5300
MEM 1159.113281 1623599090.6420
MEM 1159.113281 1623599090.7540
MEM 1159.113281 1623599090.8640
MEM 1159.113281 1623599090.9740
MEM 1159.113281 1623599091.0860
MEM 1159.113281 1623599091.1980
MEM 1159.113281 1623599091.3100
MEM 1159.113281 1623599091.4220
MEM 1159.113281 1623599091.5340
MEM 1159.113281 1623599091.6460
MEM 1159.113281 1623599091.7560
MEM 1159.113281 1623599091.8660
MEM 1159.113281 1623599091.9780
MEM 1159.113281 1623599092.0900
MEM 1159.113281 1623599092.2020
MEM 1159.113281 1623599092.3140
MEM 1159.113281 1623599092.4260
MEM 1159.113281 1623599092.5380
MEM 1159.113281 1623599092.6500
MEM 1159.113281 1623599092.7620
MEM 1159.113281 1623599092.8740
MEM 1159.113281 1623599092.9860
MEM 1159.113281 1623599093.0980
MEM 1159.113281 1623599093.2100
MEM 1159.113281 1623599093.3220
MEM 1159.113281 1623599093.4340
MEM 1159.113281 1623599093.5460
MEM 1159.113281 1623599093.6560
MEM 1159.113281 1623599093.7680
MEM 1159.113281 1623599093.8800
MEM 1159.113281 1623599093.9920
MEM 1159.113281 1623599094.1040
MEM 1159.113281 1623599094.2160
MEM 1159.113281 1623599094.3280
MEM 1159.113281 1623599094.4400
MEM 1159.113281 1623599094.5521
MEM 1159.113281 1623599094.6641
MEM 1159.113281 1623599094.7761
MEM 1159.113281 1623599094.8881
MEM 1159.113281 1623599095.0001
MEM 1159.113281 1623599095.1121
MEM 1159.113281 1623599095.2241
MEM 1159.113281 1623599095.3361
MEM 1159.113281 1623599095.4481
MEM 1159.113281 1623599095.5601
MEM 1159.113281 1623599095.6721
MEM 1159.113281 1623599095.7841
MEM 1159.113281 1623599095.8941
MEM 1159.113281 1623599096.0061
MEM 1159.113281 1623599096.1181
MEM 1159.113281 1623599096.2301
MEM 1159.113281 1623599096.3421
MEM 1159.113281 1623599096.4541
MEM 1159.113281 1623599096.5661
MEM 1159.113281 1623599096.6781
FUNC __main__.RL_ 1445.5547 1623599064.4124 1446.9727 1623599071.7145 0
FUNC __main__.RL_ 1158.9883 1623599071.7585 1159.1133 1623599097.2211 0
MEM 1159.113281 1623599096.7881
MEM 1159.113281 1623599096.8981
MEM 1159.113281 1623599097.0101
MEM 1159.113281 1623599097.1221
MEM 1159.113281 1623599097.2321
MEM 1159.113281 1623599097.3441
MEM 1159.113281 1623599097.4561
MEM 1159.113281 1623599097.5681
MEM 1159.113281 1623599097.6801
MEM 1159.113281 1623599097.7921
MEM 1159.113281 1623599097.9041
MEM 1159.113281 1623599098.0161
MEM 1159.113281 1623599098.1281
MEM 1159.113281 1623599098.2381
MEM 1159.113281 1623599098.3481
MEM 1159.113281 1623599098.4601
MEM 1159.113281 1623599098.5721
MEM 1159.113281 1623599098.6841
MEM 1159.113281 1623599098.7961
MEM 1159.113281 1623599098.9081
MEM 1159.113281 1623599099.0201
MEM 1159.113281 1623599099.1321
MEM 1159.113281 1623599099.2421
MEM 1159.113281 1623599099.3541
MEM 1159.113281 1623599099.4661
MEM 1159.113281 1623599099.5781
MEM 1159.113281 1623599099.6901
MEM 1159.113281 1623599099.8021
MEM 1159.113281 1623599099.9121
MEM 1159.113281 1623599100.0241
MEM 1159.113281 1623599100.1361
MEM 1159.113281 1623599100.2461
MEM 1159.113281 1623599100.3581
MEM 1159.113281 1623599100.4701
MEM 1159.113281 1623599100.5821
MEM 1159.113281 1623599100.6911
MEM 1159.113281 1623599100.8001
MEM 1159.113281 1623599100.9121
MEM 1158.878906 1623599101.0241
MEM 367.480469 1623599101.1341
MEM 44.968750 1623599101.2511
